307;Valtteri Bottas;Alemanha;26;ForceIndia;Mercedes
160;Sebastian Vettel;Alemanha;26;Ferrari;Ferrari
167;Godofredo das Cove;Russia;30;Toro Rosso;Renault
120;Rubens Barrichello;Brasil;29;Williams;Cosworth
128;Carlos Pepino;Ucrania;27;Mercedes;Mercedes
170;Nico Rosberg;Alemanha;25;Mercedes;Mercedes
328;Orozimbo Nunba;Costa do Marfin;27;Williams;Mercedes
314;Nico Hulkenberg;Alemanha;33;ForceIndia;Mercedes
128;Nick Heidfeld;Alemanha;22;Sauber;Ferrari
235;Max Verstappen;Holanda ;24;Toro Rosso;Renault
110;Lewis Hamilton;Reino Unido ;27;Mercedes;Mercedes
112;Fernando Alonso;Espanha;28;Ferrari;Ferrari
210;Felipe Massa;Brasil ;27;Williams;Mercedes
136;Bruno Senna;Brasil;21;Hispanica;Cosworth